Temperature,Humidity,Gas_Value,Fire_Hazard
24.11,80.84,102.72,0
33.25,77.59,352.7,0
53.58,26.56,971.91,1
24.47,43.82,189.67,0
48.7,15.65,1180.42,0
38.22,53.11,259.41,0
39.98,56.6,582.94,0
47.550583581455186,26.43488387045913,732.1766272035209,1
41.1,76.39,309.23,0
17.99,78.52,495.72,0
55.48,8.39,1035.94,1
23.15,86.18,412.08,0
52.31,26.24,1013.91,1
15.61,72.64,484.36,0
30.33,36.67,407.1,0
39.31,87.94,209.08,0
53.19,8.2,735.63,1
22.473562888804995,31.54369704639928,168.73134707970596,0
35.26884140946516,86.37093398806697,568.4817344826486,0
38.41,77.48,110.77,0
25.44,26.54,52.03,0
31.97,24.06,159.38,0
23.31,37.19,10.8,0
42.35,7.84,680.42,1
49.35,8.51,1132.15,1
35.31,57.41,221.12,0
48.52,32.68,804.93,1
41.59,13.39,1044.35,1
17.3,86.54,626.75,0
57.59,30.3,955.15,1
60.3761338242793,9.578569652863965,786.266461464102,1
45.23,24.36,1188.21,1
46.26,19.62,1059.3,1
51.07,8.13,839.9,1
47.48,18.79,794.76,1
56.27,31.52,808.87,1
53.47,9.54,660.94,1
42.67,30.16,79.2830752100424,1
24.74,67.38,425.09,0
27.17,78.54,229.99,0
54.61,26.84,862.34,1
42.19,12.14,1104.94,1
22.17,68.27,51.58,0
36.03,60.2,99.13040594111109,0
33.42,70.86,412.66,1
56.65,6.97,721.38,1
16.59,65.46,416.55,0
51.46,30.24,1056.72,1
40.16,89.98,504.84,0
45.26,5.07,1109.88,1
44.63,35.1,232.79,0
45.59,15.43,847.71,1
55.44,5.86,1041.9,1
47.56,27.33,968.48,1
58.11,27.19,612.12,1
56.61,6.5,1123.71,1
18.8,66.43,252.87,0
49.72,32.36,837.99,1
50.98,22.6,1025.18,1
58.44,14.63,953.17,1
50.12,7.82,723.48,1
35.81,74.06,255.93,0
47.4,10.61,788.93,1
18.84,76.31,334.35,0
45.39,10.92,825.35,0
44.22,21.01,410.5,0
16.58,89.25,372.78,0
25.11,30.44,640.32,0
24.15,28.0,677.51,0
52.55,18.99,685.05,1
44.05,10.05,1005.41,1
24.59,64.03,272.39,0
55.82,20.78,694.82,1
18.29,57.67,82.84,0
53.61,27.95,835.04,1
28.57,41.36,60.05,0
49.45,5.09,803.32,1
55.47,26.94,739.84,1
42.18,61.08,35.86,0
38.47,75.83,156.12,0
18.83,69.1,113.09,0
46.62,25.58,994.48,1
18.13,46.46,607.17,0
41.0,14.29,1092.58,1
39.29,25.26,557.99,0
37.02,55.1,15.68,0
42.55,19.13,696.8,1
22.66,76.72,717.74,0
31.55,65.62,635.63,0
55.67,8.93,696.41,1
36.59,81.13,207.58,0
23.87,65.08,256.79,0
37.83,41.58,446.98,0
41.86,12.47,1156.53,1
47.5,7.99,902.02,1
16.22,79.12,343.43,0
32.51,48.46,26.71,0
31.05,77.33,687.92,0
51.46,23.09,837.11,1
55.82,13.2,741.28,1
51.81,24.64,1103.49,1
44.61,71.86,365.78,0
57.47,13.64,1187.58,1
57.16,32.64,99.36222149640324,1
49.22,26.62,897.81,0
52.77,12.45,645.1,1
53.0,18.62,823.71,1
35.22,42.63,8.19,0
26.41,61.5,260.89,0
55.17,6.97,1184.44,1
46.81,17.07,1156.01,1
20.06,48.5,72.69409439386563,0
50.36,9.77,1074.56,1
22.09,83.9,410.13,0
41.36,13.27,881.38,1
21.06,67.71,558.82,0
54.78,16.25,666.03,1
46.15,24.89,927.0,1
40.34,33.27,563.1,1
33.21,69.6,718.91,0
56.26,11.42,747.89,1
57.29,17.82,1133.64,1
47.23,32.45,631.69,1
59.55,6.47,685.28,1
49.76,12.61,798.8,1
39.14,81.02,562.0,0
44.54,10.63,685.96,1
52.59,18.46,835.03,1
16.44,60.11,610.52,0
55.52,6.51,1164.58,1
24.69,76.6,4.73,0
54.46,21.81,614.36,1
42.19,49.18,184.43,0
21.61,76.34,515.64,0
57.72,21.01,782.2,1
56.27,19.82,717.3,1
27.21,64.37,584.6,0
58.73,13.09,652.14,1
51.97,7.1,993.7,1
57.78,32.22,867.81,1
45.6,20.13,1168.8,1
44.49,54.08,414.4,0
52.33,31.41,675.33,1
48.22,15.69,642.68,1
20.09,86.8,267.17,0
20.09,56.65,592.92,0
17.15,85.42,403.2,0
30.6,80.01,758.07,0
47.46,25.7,965.49,1
51.27,27.09,677.64,1
53.39,14.46,672.07,1
30.72,24.52,490.12,0
43.71,20.51,967.99,1
53.86,7.45,715.94,1
44.05,12.39,798.13,1
44.8,30.56,607.71,1
16.0,78.36,622.26,0
57.92,32.23,1126.32,1
47.74,28.41,1083.58,1
58.46,30.91,860.19,1
52.72,6.53,1106.16,1
31.32,55.82,321.89,0
30.61625322255983,29.475248691260592,504.5617312197413,0
55.69,5.97,695.79,1
38.59,89.82,316.57,0
51.66,8.42,1108.36,1
47.24,7.1,838.89,1
40.54,24.1,660.6,1
43.19,33.38,865.37,1
42.72,88.56,113.81,0
19.46,83.84,526.96,0
21.52,58.06,580.52,0
20.93,61.58,549.04,0
46.22,21.73,859.78,1
55.85,17.71,1058.63,1
18.51,78.98,296.2,0
34.29,32.47,170.14,0
35.61,36.08,554.07,0
37.53,22.57,120.28,0
49.36,8.96,801.11,1
47.81,31.91,723.74,1
25.88,25.03,463.99,0
45.41,14.95,1193.53,1
28.09,29.33,659.28,0
37.85,58.57,175.62,0
22.31,75.38,458.07,0
53.09,14.33,702.66,1
43.67,17.95,1128.18,1
45.7,11.07,1150.6,1
42.01,69.61,653.44,0
45.16,14.55,712.96,1
42.93,22.93,953.78,1
31.56,87.59,650.7,0
35.08,86.31,493.95,0
42.61,22.56,292.27,0
41.95,38.1,75.82,0
23.44,66.99,241.22,0
45.93,29.72,859.39,1
31.31,87.38,723.31,0
37.81,79.44,324.56,0
20.49,38.24,73.7,0
48.69,22.91,924.5,1
32.59,73.58,178.4,0
18.49,45.57,515.54,0
57.86,21.73,1054.62,1
44.41,23.99,1145.31,1
41.34,18.36,628.28,1
29.35,74.06,329.15,0
39.5,88.21,667.03,1
50.67,27.29,922.79,1
50.2,20.73,784.33,1
57.91,33.66,846.3,1
43.46,14.39,751.8,1
43.3,23.97,1076.14,1
58.42,33.63,900.95,1
41.82470534534036,16.719366190911963,359.48233415634814,0
46.5,18.61,1007.74,1
20.74,72.89,127.52,0
59.08,5.71,873.49,1
45.25,31.78,619.21,1
55.38,6.86,25.402769258304026,1
28.17,45.58,645.53,0
56.54,19.18,920.84,1
37.73,48.34,332.95,0
45.87,8.95,825.54,1
42.76,82.77,642.3,0
45.22,19.15,1159.36,1
54.43,17.63,842.84,1
52.32,33.08,773.04,1
56.52,24.95,1038.6,1
39.52,28.99,142.7,0
45.44,32.16,621.0,1
43.35268898120677,14.84633263219112,707.1919332548724,1
51.73,28.98,844.85,1
44.33,10.7,731.27,1
46.95,19.53,1061.28,1
46.47,18.0,982.75,1
26.79,52.87,765.27,0
26.67,65.89,110.31,0
31.12,33.32,683.63,0
48.39,33.03,762.29,1
44.51,24.92,1106.08,1
31.77,35.77,379.16,0
31.6,32.85,240.38,0
41.0,19.42,1123.85,1
22.56,76.78,700.21,0
53.93,15.63,1001.09,1
42.02,13.33,731.84,1
19.79,60.07,691.39,0
33.18,25.95,483.9,0
43.23,14.79,1138.33,1
34.43,21.53,230.05,0
18.41,60.47,163.4,1
26.7,85.87,653.96,0
39.16,89.14,47.1,0
48.06,17.97,930.71,1
24.21,33.35,499.05,0
50.43,30.96,743.34,1
44.95,25.16,592.41,0
26.82,82.47,601.29,0
38.81,24.54,664.53,0
49.22,5.75,852.21,1
49.34,14.74,1185.87,1
32.68,85.84,613.16,0
37.3,70.53,401.15,0
34.84,77.25,24.34,0
44.66,22.26,500.21,0
44.85,35.67,714.88,0
32.66,54.86,32.72431290000485,0
21.36,87.55,562.07,0
29.77,85.8,171.48,0
45.8723147987509,91.08196285183413,397.0478936810697,0
50.87,5.57,1064.28,1
20.77,34.67,439.19,0
19.17,52.81,274.93,0
33.11,73.97,113.37,0
39.81,54.39,116.02,0
16.0,39.77,542.08,0
48.75,32.57,806.42,1
47.88,18.65,1074.18,1
16.43,80.3,452.25,0
30.29,28.04,698.17,0
53.75,15.1,851.98,1
56.91,8.78,1121.99,1
21.31,74.77,277.83,0
34.1,24.53,565.19,0
35.61,65.36,236.93,0
59.5,12.06,1101.31,1
59.31,32.14,1033.57,1
59.01,18.48,997.8,1
41.44,66.75,785.44,0
47.52,10.48,769.65,1
59.0,12.62,885.36,1
19.62,64.12,421.69,0
28.59,69.96,194.74,0
53.04,14.46,885.12,1
30.43,32.01,166.65,0
51.74,11.67,602.51,1
22.52,56.42,600.81,0
19.43,35.97,382.09,0
47.17,31.27,980.8,1
57.91,26.42,809.26,1
27.85,77.07,69.48257054559151,0
47.02,29.95,1131.25,1
44.37,23.6,727.9,1
15.38,80.07,568.59,0
26.94,83.89,661.29,0
27.05,78.94,40.1,0
44.74,12.64,831.22,1
37.85,80.59,64.93,0
41.16,40.65,239.46,0
41.64,30.37,1077.38,1
17.27,26.34,362.02,0
19.29,25.41,22.34,0
15.29,41.28,278.05,0
58.57,8.88,833.35,1
26.4,62.24,714.41,0
15.55,20.25,166.78,0
49.18,6.27,937.1,1
50.55,31.08,912.05,0
55.03,30.26,793.43,1
19.96,64.97,523.18,0
57.48,32.44,1112.71,1
57.43,13.49,619.44,1
25.8,40.87,234.46,0
34.91,20.26,469.2,0
51.33,10.95,1085.27,1
55.28,28.93,631.29,1
49.21,9.95,697.27,1
45.62,33.29,964.81,1
36.25,51.59,498.6,0
42.28,15.05,981.03,1
42.26,28.07,905.89,1
21.66,58.61,625.16,0
43.98,40.07,413.23,0
56.31,21.21,906.02,1
42.66,22.68,456.62,0
44.26,10.42,798.11,1
57.45,12.82,1063.36,1
24.37,67.1,205.34,0
25.96,20.84,479.66,0
22.27,82.93,302.35,0
15.1,60.04,658.19,0
30.03,87.79,189.51,0
30.69,64.48,170.74,0
29.72,88.9,229.86,0
21.09,39.33,214.32,0
43.73,72.5,647.66,0
51.84,14.29,840.3,1
30.12,57.27,104.32,0
20.217371063946118,69.62507504102955,162.42571892448197,0
42.25,25.41,1116.82,1
59.05,19.07,755.05,1
46.55,19.04,1126.65,1
43.97,8.32,610.37,1
49.67,6.44,713.82,1
15.37,70.9,481.63,0
20.42,85.74,25.75,0
48.37,26.77,1043.18,0
54.16,18.16,884.21,1
26.52,71.98,140.87,0
57.37,28.58,915.54,1
15.49,35.69,777.69,0
47.73,15.96,935.65,1
26.72,36.9,311.12,0
25.05,82.55,50.74,0
29.59,85.48,483.63,0
50.88,12.54,861.8,1
15.77,30.15,153.83,0
58.83,8.04,1007.59,1
25.99,27.52,223.78,0
53.25,20.74,847.13,1
20.36,71.85,759.39,0
49.91,17.31,746.78,1
33.85,56.07,772.31,0
56.01,8.82,623.1,1
19.74,22.86,433.73,0
20.79,82.97,529.86,0
41.19,58.63,164.47,0
42.63,31.7,729.83,1
55.43,27.66,769.94,1
48.22,11.43,763.17,1
49.1,27.97,1041.33,1
20.72,25.91,102.88,0
56.9,20.67,966.09,1
44.0,32.81,1187.69,0
42.78,5.61,927.46,1
21.13,50.35,399.94,0
55.16,19.43,1161.65,1
48.73,33.59,638.93,1
49.21,21.23,661.38,1
21.73,75.28,484.93,0
34.02,28.83,531.98,0
43.43,31.93,1081.8,1
29.93,69.42,258.59,0
37.49,87.67,668.32,0
54.42,5.88,874.11,1
45.19,14.27,663.0,1
46.96,12.29,750.09,1
41.83,89.73,556.24,0
28.09,81.42,558.71,0
52.31,13.24,727.98,0
58.79,25.65,708.54,1
26.8,88.93,99.68,0
40.28,27.44,57.78,0
49.25,5.58,1033.39,1
50.68,14.78,716.33,1
54.07,8.58,1099.11,1
53.71,18.64,940.43,1
42.17,16.71,1194.29,1
43.79,23.86,1185.91,1
30.08,50.36,536.21,0
30.15,75.04,513.43,0
19.83,84.31,631.98,0
26.07,20.04,598.29,0
48.0,19.93,651.2,1
32.43,36.1,515.78,0
54.73,16.11,658.23,1
17.73,28.22,797.86,0
56.66,9.06,1018.23,1
41.57,33.19,634.53,1
56.00454537217128,0.8420430335940505,1063.3647806293404,1
59.99,11.2,1009.4,1
35.54,58.14,100.65,0
41.8,9.9,821.59,1
55.56,6.78,856.26,1
25.88,61.35,252.17,0
49.71,17.06,880.11,1
38.1,48.98,488.14,0
20.96,88.45,661.86,0
46.55,16.11,811.74,1
36.33,29.95,730.19,0
55.33,18.23,970.51,1
24.61,86.97,619.36,0
54.29,9.96,800.97,1
42.52,9.03,992.49,1
26.18,81.91,661.41,0
50.46,5.53,774.06,1
44.65,20.47,831.64,1
41.58,53.45,474.18,0
46.5,14.17,692.53,1
35.77,48.71,779.12,0
43.12,32.28,94.21,0
30.65,30.3,750.77,0
46.91,21.08,1182.87,1
55.1,24.5,48.61644657483969,1
56.74,22.92,751.75,1
23.56,20.52,496.64,0
42.98,18.68,734.3,1
51.9,14.43,948.41,1
47.51,16.74,810.31,1
42.52,23.57,723.55,1
35.65,36.92,648.79,0
42.85,74.8,170.48,0
50.72,7.19,1154.62,1
30.0,73.13,281.28,0
52.95,12.56,753.28,1
32.65,59.07,97.34,0
19.53,70.93,528.05,1
31.54,76.92,622.88,0
33.54,61.85,332.47,0
18.9,77.18,122.75,0
30.26,50.68,340.09,0
35.43,78.08,623.54,0
41.76,18.25,870.36,1
29.84,67.89,599.23,0
42.89,28.22,1091.72,1
18.84,54.37,588.38,0
54.0,16.81,618.39,1
29.95,86.18,32.31,0
40.34,43.91,98.75,0
45.84,24.04,74.21327856246376,1
55.41,25.4,737.06,1
46.16,32.78,716.46,1
33.79,71.27,681.62,0
38.19,64.02,90.12,0
45.15,19.57,1107.22,1
41.54,48.15,254.81,0
25.0,41.05,533.95,0
43.35,19.08,927.2,1
41.85,76.44,463.51,0
21.09,88.85,171.4,0
57.26,13.25,655.26,1
47.24,18.64,613.81,1
50.8,17.81,1199.17,1
41.83,14.89,707.79,1
16.92,72.65,355.07,0
26.178736628719715,55.741672287201354,799.6800808101806,0
34.35,64.92,334.39,0
22.78,82.42,771.3,0
50.46,31.41,694.75,1
43.47,7.1,1164.74,1
38.83,51.28,619.88,0
15.767463892789468,54.14554265506282,20.018739096281294,0
42.25,7.79,1087.06,1
54.43,29.85,927.75,1
41.1,30.22,618.05,1
42.21,11.95,898.72,1
40.73,65.82,22.19,0
43.78,80.99,164.75,0
48.27,25.16,1106.49,1
29.38,53.32,555.97,0
25.68,79.03,205.83,0
33.26,85.17,633.52,0
46.04,16.6,612.06,1
59.95,12.0,1129.8,1
54.64,27.7,959.34,1
55.38,17.52,994.44,1
42.59,25.08,1073.58,1
43.0,6.38,688.39,1
44.21,8.28,753.62,1
53.64,18.96,1012.41,1
47.17,17.97,699.39,1
54.85,24.41,1183.98,1
58.62,23.57,737.82,1
49.24,8.69,955.87,0
19.42,36.28,452.32,0
58.75,28.75,992.41,1
27.19,28.93,29.5007261243857,0
43.88,28.24,603.68,1
33.71,78.12,628.55,0
21.24,44.16,91.16,0
59.5,8.38,70.61239479158232,1
38.48,62.56,55.76,0
59.29,24.29,1153.98,1
41.34,5.64,1030.41,1
22.82,24.04,443.6,0
59.86,29.16,747.64,1
34.75,89.77,15.45,0
45.46,11.12,907.38,1
30.31,41.13,193.7,0
45.69,15.53,636.93,1
53.650809002695254,32.73208394007953,1020.5589685329843,1
42.65,80.44,477.44,0
55.54,32.46,661.16,1
57.13,11.52,1018.8,1
41.87,33.03,700.68,1
56.44,7.11,760.73,1
44.11,16.63,997.02,1
19.73,78.83,380.03,0
41.17,19.35,1145.52,1
43.15,54.56,122.95,0
43.08,32.44,1189.51,1
20.87,75.68,281.45,0
59.34,14.67,936.72,1
57.14,11.55,612.91,1
41.13,80.9,643.86,0
44.88,18.02,1183.26,1
17.11,66.41,528.9,0
24.55,74.0,135.18,0
35.59,76.59,755.32,0
36.89,58.7,304.89,1
53.57,15.77,623.46,1
39.75,66.91,406.3,0
36.76,51.43,521.61,0
26.13,30.14,163.52,0
21.42,69.6,285.39,0
32.16,58.97,309.77,0
52.93,28.82,684.9,1
57.15,32.42,881.47,1
46.26,30.56,856.51,1
45.9,19.34,1172.65,1
43.79,56.12,114.58,0
30.4,60.25,573.72,0
30.99,47.12,103.44,0
15.97,89.14,640.55,0
26.23,43.21,757.28,0
58.73,18.66,736.65,1
30.18,45.54,300.25,0
41.75,23.39,1044.92,1
57.54,31.48,948.88,1
15.52,60.87,283.4,0
50.47,19.44,656.97,1
31.37,57.14,753.9,0
55.2,14.93,915.6,1
17.02,69.01,48.82,0
34.72,84.42,348.77,0
25.46,45.21,102.68,0
38.76,62.59,534.23,0
23.39,22.67,116.17,0
15.36,39.8,543.14,0
37.57,89.81,518.67,0
56.16,11.86,1045.9,1
38.91,43.65,288.12,0
21.36,22.88,783.59,0
35.85,58.88,198.77,0
18.41,81.88,29.57,0
44.07,29.78,794.87,1
58.53,9.75,659.07,1
43.67,74.74,170.73,0
55.02,18.08,856.17,1
48.96,22.27,1179.88,0
58.5,32.03,657.14,0
33.49,79.41,450.29,0
44.2,21.32,1101.83,1
41.94,8.94,616.55,1
45.74,27.24,1064.43,1
16.25,30.72,587.61,0
22.95,73.34,125.48,0
55.11,16.49,1162.75,1
19.75,41.28,18.3,0
50.38,17.7,830.31,1
17.56,86.25,597.09,0
32.68,77.19,786.09,1
27.85,49.92,274.63,0
56.0,16.85,669.67,1
52.27,8.41,1099.03,1
22.02,74.67,74.29,0
51.7,8.39,808.55,1
44.81,24.76,992.63,1
44.54,18.98,967.94,1
15.96,56.08,325.91,0
50.24,28.46,1108.91,1
41.4,23.25,402.66,0
59.77,28.72,1005.77,1
48.97,30.87,646.14,1
25.64,53.13,63.82,0
21.27,60.43,181.2,0
39.9,57.49,614.51,0
54.36,7.31,989.81,1
18.78,41.02,511.85,0
46.21,33.59,1165.72,1
27.92,72.4,682.53,0
26.74,85.66,410.17,0
45.527800638571144,25.125495957021734,841.38603008566,1
43.05,84.86,747.21,0
44.01,43.93,89.24,0
45.93,24.91,1079.11,1
50.77,23.5,1153.19,1
44.69,79.06,448.89,0
44.15,15.15,863.82,1
54.53,32.91,683.68,0
38.21,21.71,77.73,0
57.67,24.8,56.20819014360728,1
48.59,9.15,1197.32,1
43.7,30.39,878.83,1
30.35,71.93,709.84,0
23.55,65.4,294.96,0
48.28,14.01,824.11,1
31.6,81.99,493.15,0
51.28,27.56,670.52,1
41.77,29.88,153.54,0
42.53,13.79,953.97,0
22.09,68.82,561.53,0
39.65,33.06,464.04,0
41.19,32.28,717.24,1
20.285742111654947,58.83641686819065,315.53384840408376,0
22.3,46.3,210.93,0
26.18,29.72,681.02,0
46.65,29.75,626.16,1
39.87,50.64,654.38,0
44.88,17.26,1091.48,1
54.28,17.28,1058.67,1
45.6,12.41,769.71,1
30.06,70.5,503.25,0
44.98,26.54,913.58,1
45.54,21.65,714.42,1
22.54,41.21,34.88,0
45.69,10.42,648.94,1
48.63,31.12,634.33,1
44.21,41.51,254.88,0
26.46,56.06,489.67,0
23.13,57.89,751.25,0
44.7,17.52,1117.95,1
20.1,48.93,732.82,0
43.2,17.45,1187.12,1
21.78,22.93,394.31,0
45.38,30.54,932.1,1
18.35,80.41,226.64,0
57.25,18.26,1082.45,1
51.35,11.05,953.6,1
46.17,8.85,829.48,1
23.12,59.83,194.36,0
17.75,67.17,290.06,0
47.88,15.5,660.92,1
37.9418091569036,51.034308289349816,351.1028952098838,0
44.00948160528073,84.12546051895238,78.44244568132116,0
54.38,14.89,671.6,1
58.8,17.12,965.6,1
54.09,20.87,831.26,1
44.17,5.72,1164.49,1
23.03,45.53,754.8,0
18.58,43.04,34.69,0
23.99,52.08,779.92,0
30.88,78.72,760.98,0
49.28,8.68,1097.51,1
26.21,36.86,653.02,0
31.17,23.18,376.91,1
41.47,73.12,735.16,0
37.33,23.74,199.53,0
52.15,19.65,709.61,0
41.91,37.53,46.98,0
21.02,77.52,148.84,0
24.91,68.8,8.91,0
42.3,13.35,640.83,1
41.68,25.58,665.77,1
28.9,51.16,100.64,0
53.69,20.09,1106.22,1
57.84,16.0,1124.56,1
42.08,5.55,1163.51,1
42.33,79.36,632.77,0
52.34,25.84,912.33,1
35.45,20.79,465.12,0
45.72,33.5,922.03,1
44.61,27.98,874.92,1
19.36,62.71,19.26,0
53.06,31.98,1038.61,1
58.91,7.54,755.93,1
41.27,72.27,379.39,0
45.28,9.75,950.05,1
49.11395542584115,21.303283649566502,577.1754365970424,1
42.41,11.86,865.85,1
15.04,33.37,326.98,0
35.56,44.83,527.31,0
45.46,10.09,883.77,0
46.57,31.53,640.64,1
55.99,29.97,1041.51,1
59.89,24.84,857.03,1
50.23,6.93,942.66,1
43.99,65.7,468.31,0
34.0,74.24,587.79,0
21.46,88.47,73.39,0
36.25,54.34,578.32,0
44.05,10.15,771.66,0
30.1,55.61,294.25,0
46.91,10.65,620.21,1
49.12,32.35,811.04,1
59.96,29.6,1192.93,0
45.56,6.6,793.72,1
17.98,72.41,588.44,0
41.34,19.58,704.85,1
16.28,39.83,539.46,0
35.12,62.77,461.98,0
47.83,29.88,786.78,1
41.4,26.3,1157.24,1
57.93,25.35,680.19,1
42.35,19.04,1198.51,1
52.54,32.84,898.32,1
40.96,88.72,147.09,0
43.55,19.67,1105.48,1
57.01,33.17,694.25,1
23.78,47.07,599.52,0
22.43,63.62,258.64,0
44.7,25.04,443.7,0
42.76,62.11,139.71,0
48.31,32.95,647.53,1
42.8,40.06,162.83,0
35.18,64.87,261.44,0
25.32,52.55,243.46,0
27.24,54.62,246.23,0
56.52,10.18,856.41,1
21.18,74.25,44.93,0
31.91,32.27,195.61,0
52.31,6.45,1162.58,1
45.33,31.47,644.71,1
36.76,36.47,93.36,0
47.07,24.95,1076.44,1
15.56,74.15,674.65,0
44.23,52.71,82.03,0
32.24,79.48,650.84,0
26.36,56.48,642.28,0
52.08,6.51,1017.29,1
42.92,17.37,1114.59,1
16.33,20.15,604.92,0
38.55,25.3,357.72,0
50.18,29.21,665.19,1
35.68,51.77,7.66,0
58.76,12.95,889.68,1
53.48,18.33,770.11,1
37.99,29.23,434.18,0
59.32,20.76,661.57,1
51.28,33.96,1100.33,1
56.69,24.94,827.51,1
27.77,59.7,659.88,0
31.7,70.65,331.25,0
50.61,14.18,1110.14,1
33.9,82.39,450.38,0
21.08,58.24,6.849707476267897,0
51.84,23.22,939.33,1
33.5,44.78,136.37,0
32.7,33.06,432.4,0
22.35,25.89,450.72,0
44.97,7.09,837.37,1
46.96,16.4,687.99,1
54.66,31.33,690.56,1
43.41,27.46,890.94,1
59.42,25.65,713.73,1
44.94,55.13,103.49,0
38.77,52.19,389.64,0
41.48,29.19,761.12,1
43.94,22.95,80.28,0
56.5,33.32,985.33,0
55.86,24.89,610.91,1
57.06,7.83,12.039717548129492,1
21.54,58.29,284.75,0
43.25,63.59,449.34,0
30.57,42.85,421.68,0
44.72,61.01,772.21,0
48.4,27.38,812.99,1
43.58,37.46,357.25,0
56.2,26.82,691.06,1
50.66,14.64,803.32,1
31.26,23.83,235.22,0
43.39,66.65,96.42,0
18.71,59.02,41.52,0
41.23,24.93,943.69,1
25.66,21.43,583.72,0
44.24,21.93,936.42,1
52.31,17.67,10.986547781937006,1
47.76,31.03,700.36,1
30.5,79.25,373.91,0
36.38,61.92,717.97,0
44.89,23.07,690.31,1
45.92,28.23,1027.83,1
53.78,25.96,735.11,1
55.89,17.23,673.85,1
58.23,18.49,1133.57,1
20.66,43.77,749.58,0
29.45,35.03,765.06,0
53.03,13.27,657.45,1
29.74,82.58,145.97,0
47.36,28.37,1014.44,1
25.19,43.43,123.67,1
51.61,11.92,1171.54,1
36.26,48.09,365.62,0
40.35,62.82,659.06,0
18.47,37.6,727.38,0
56.63,6.14,790.64,1
54.37,21.55,850.81,1
31.44,50.98,629.64,0
49.37,17.26,904.39,1
56.46,19.27,791.49,1
29.85,78.77,268.98,0
42.92,17.4,943.72,1
56.99,23.66,837.38,1
57.64,29.61,665.05,1
46.17,18.33,1109.68,1
25.14,53.58,80.37,0
54.93,18.21,747.21,1
50.15,33.84,699.63,1
50.35,31.45,860.41,1
58.04,13.3,729.8,1
52.18,21.57,1057.58,1
29.25,89.9,556.42,0
43.97,12.49,783.16,1
43.44,16.14,802.36,1
44.5,57.78,171.29,0
54.83,17.45,766.14,0
51.25,22.21,945.08,1
36.24,22.77,427.68,0
47.69,13.53,738.99,1
49.47,14.78,737.77,1
21.5,59.69,23.465186930307482,0
50.74,19.54,664.36,1
27.57,64.53,412.5,0
23.67,23.83,468.72,0
45.94,7.15,726.04,1
49.1,23.39,967.31,0
36.55,67.89,208.4,0
58.96,16.21,879.16,1
43.28,7.89,42.4030445597287,1
41.89,10.45,962.58,1
51.99,20.03,603.62,1
34.383214219214544,28.468195021018804,240.48807866484813,0
48.68,33.1,860.41,1
24.94,25.5,597.65,0
41.22,24.27,221.11,0
53.81,18.65,1100.72,1
50.01,31.38,810.93,1
49.4,19.93,855.18,1
